N,python_cpc_mean,python_cpc_p10,python_cpc_p90,mtl_cold_cpc_mean,mtl_cold_cpc_p10,mtl_cold_cpc_p90,mtl_cached_cpc_mean,mtl_cached_cpc_p10,mtl_cached_cpc_p90,frac_C_beats_A,frac_B_beats_A,mtl_success_mean,py_success_mean,mtl_success_deficit_flag
1,0.0028157151599999997,0.0017399999999999998,0.0044475,0.063217494915,0.062040000000000005,0.06441000000000001,0.07840874491499998,0.07723124999999999,0.07960124999999998,0.0,0.0,1.0,1.0,False
2,0.0028115551274999996,0.00204,0.00366375,0.06318763983,0.062415000000000005,0.06394249875,0.04343901482999999,0.04266637499999999,0.044193873749999994,0.0,0.0,1.0,1.0,False
3,0.00283996346,0.0022016675,0.0034674999999999997,0.06320133988,0.06258999999999999,0.0638283325,0.03180608987999999,0.031194749999999993,0.032433082499999995,0.0,0.0,1.0,1.0,False
5,0.002840679135,0.0023985,0.003288,0.063197096856,0.0627550005,0.063633999,0.022484546855999998,0.022042450499999998,0.022921449,0.0,0.0,1.0,1.0,False
8,0.0028291588874999997,0.0025384378125,0.0031115624999999997,0.063210114225,0.0629071875,0.063521874375,0.017256582975,0.016953656249999997,0.017568343125,0.0,0.0,1.0,1.0,False
16,0.0028363035740625,0.00272843765625,0.00293046890625,0.0632043623596875,0.06310609359375,0.06331140609375,0.0128833467346875,0.01278507796875,0.01299039046875,0.0,0.0,1.0,1.0,False
